Dragnet_result,Newspaper_result,,Dragnet_score,Newspaper_score
"0,8",0,https://www.20minutes.fr/faits_divers/2388915-20181206-gilets-jaunes-perpignan-manifestante-hospitalisee-office-troubles-psychologiques#xtor=RSS-149,"0,8672413793","0,6896551724"
1,0,https://actu.fr/bretagne/guingamp_22070/gilets-jaunes-pres-4000-signatures-guingamp-demander-destitution-president_20209132.html,,
"0,8",1,"https://www.lindependant.fr/2018/11/04/manifestation-dautomobilistes-en-colere-a-narbonne,4754168.php",,
1,0,https://www.rtl.fr/actu/justice-faits-divers/gilets-jaunes-un-conducteur-meurt-apres-avoir-percute-un-camion-7795936296,,
"0,8",1,https://limportant.fr/rss-452370,,
1,1,http://www.nouvelobs.com/societe/social/20190107.OBS8036/policier-frappant-des-manifestants-le-prefet-saisit-l-igpn.html,,
1,0,https://limportant.fr/rss-459929,,
"0,8",0,https://www.liberation.fr/checknews/2019/01/04/y-a-t-il-vraiment-eu-dix-morts-depuis-le-mouvement-des-gilets-jaunes_1700870?xtor=rss-450,,
1,1,http://www.lavoixdunord.fr/491700/article/2018-11-19/mais-qui-sont-ces-irreductibles-gilets-jaunes,,
1,0,https://www.bfmtv.com/societe/gilets-jaunes-apres-les-annonces-de-macron-la-mobilisation-en-question-1589075.html,,
1,1,https://www.laprovence.com/actu/en-direct/5254297/nicolas-dupont-aignan-dlf-en-gilet-jaune-samedi-a-paris.html,,
1,0,http://echelledejacob.blogspot.com/2018/11/les-revoltes-du-week-end.html,,
1,1,http://www.nouvelobs.com/politique/20181227.OBS7679/europeennes-ces-partis-qui-draguent-les-gilets-jaunes-pour-les-mettre-sur-leurs-listes.html,,
"0,8",0,https://www.contrepoints.org/2018/12/07/331896-pour-le-decodex-du-monde-cest-gratuit-car-letat-paie,,
1,1,https://actu.fr/grand-est/metz_57463/gilets-jaunes-courrier-hallucinant-dinsultes-recu-par-depute-republique-marche-moselle_19804594.html,,
1,1,http://www.europe1.fr/societe/brigitte-bardot-et-kaaris-avec-les-gilets-jaunes-3809972,,
"0,8",0,https://www.la-croix.com/JournalV2/Au-Pouzin-defi-maintien-lordre-bourg-2018-12-07-1100987998,,
1,1,http://www.lamontagne.fr/moulins/social/allier/2018/11/20/mathieu-gilet-jaune-a-toulon-sur-allier-a-31-ans-je-n-ai-aucune-perspective-d-avenir_13057903.html,,
"0,8",1,https://www.republicain-lorrain.fr/edition-de-forbach/2018/11/21/gilets-jaunes-a-forbach-un-allemand-denonce-des-saluts-nazis,,
0,1,https://www.ladepeche.fr/article/2018/11/01/2898816-gironde-joue-enfants-salon-balle-chasseur-traverse-vitre.html,,
1,1,https://actu.fr/hauts-de-france/avelin_59034/nord-sans-men-in-blue-doublet-avelin-tour-france-nexisterait-pas_17641355.html,,
"0,8",1,"https://www.lindependant.fr/2018/12/01/carcassonne-les-pompiers-prives-de-medaille-pour-une-hypothetique-menace-daction-des-gilets-jaunes,4994985.php",,
1,1,https://www.lyoncapitale.fr/actualite/gilets-jaunes-a-lyon-premiers-gaz-lacrymogenes-aux-terreaux/,,
0,1,https://www.ladepeche.fr/article/2018/11/23/2912163-a-foix-les-lyceens-s-habillent-des-gilets-jaunes.html,,
1,1,https://www.franceinter.fr/emissions/le-billet-de-charline-vanhoenacker/le-billet-de-charline-vanhoenacker-11-decembre-2018,,
"0,8",1,https://laminedinfos.fr/2018/12/17/la-desinformation-bat-son-plein-le-bilan-de-lacte-5-des-gilets-jaunes-fait-polemique/,,
1,1,https://www.lepoint.fr/societe/le-gilet-jaune-de-la-securite-routiere-a-la-contestation-sociale-10-12-2018-2278123_23.php,,
1,0,https://limportant.fr/rss-455848,,
"0,8",1,https://www.leprogres.fr/ain-01/2018/11/17/saint-denis-les-bourg-un-homme-tente-de-forcer-le-barrage-blesse-un-gilet-jaune-et-prend-la-fuite,,
1,0,https://www.bfmtv.com/politique/la-france-peripherique-n-est-pas-de-gauche-ou-de-droite-elle-galere-gilet-jaune-1569408.html,,
